,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-03 14:30:00,BTCUSD,30,33931.5,34148.0,33921.0,34050.5,79136793,572.4485646119028,473.3457593706609,29743.437990532166,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 15:00:00,BTCUSD,30,34050.5,34639.0,33808.0,34575.0,176788574,632.2403739756483,505.12468229165836,29791.513234407466,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 15:30:00,BTCUSD,30,34575.0,34861.0,34114.0,34525.0,296260804,667.8921861668932,537.6781830667053,29838.612605209382,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 16:00:00,BTCUSD,30,34525.0,34652.5,33849.0,34464.5,293848073,683.3869998646842,566.819946426301,29884.641335505807,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 16:30:00,BTCUSD,30,34464.5,34715.0,34309.5,34411.0,160506305,683.4711188602232,590.1501809130855,29929.67973017739,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 17:00:00,BTCUSD,30,34411.0,34620.5,33925.0,34078.0,161552165,649.1840768326801,601.9569600970044,29970.956548782593,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 17:30:00,BTCUSD,30,34078.0,34287.5,33868.5,34239.5,128892769,627.8060914625821,607.1267863701199,30013.429617948936,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-03 18:00:00,BTCUSD,30,34239.5,34417.5,33514.5,33767.5,376427018,566.2500506003926,598.9514392161744,30050.7835520987,Bull,1,1.0,,0.0,0.0,0.0,0.0
2021-01-03 18:30:00,BTCUSD,30,33767.5,34116.0,33568.0,33880.0,227072488,520.5437502029527,583.2699014135301,30088.88520829672,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 19:00:00,BTCUSD,30,33880.0,34197.0,33802.5,33957.0,112374049,484.944298322298,563.6047807952837,30127.37391269178,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 19:30:00,BTCUSD,30,33957.0,34444.0,33957.0,34437.5,108613127,489.8570434491703,548.855233326061,30170.260739431164,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 20:00:00,BTCUSD,30,34437.5,34598.0,34214.5,34316.0,124339774,478.4313361445893,534.7704538897667,30211.511876352248,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 20:30:00,BTCUSD,30,34316.0,34373.5,33947.0,34123.5,115233784,448.6712368473309,517.5506104812796,30250.437131313916,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 21:00:00,BTCUSD,30,34123.5,34397.5,34123.0,34169.5,98207185,423.91137287543097,498.82276296010986,30289.432781748605,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-03 21:30:00,BTCUSD,30,34169.5,34193.0,33823.0,33900.0,248180522,378.1831447165314,474.69483931139416,30325.358823721257,Bull,1,0.0,,0.0,0.0,0.0,0.0
